# Units
# dimensionless	code_time	dimensionless	1/code_time	1/code_time	1/code_time	1/code_time
2.100000000000000000e+01	6.671834401392547242e+00	4.660481250562958921e-02	1.399747882689584085e-15	2.783419383619670168e-14	8.731555066427270364e-13	4.247973992840554332e-06
3.100000000000000000e+01	1.754819515390752827e+01	1.225795329676288570e-01	4.635163852971480201e-11	1.316042070056476340e-12	6.313264814838028477e-12	4.518655100833650890e-07
4.100000000000000000e+01	3.560486200926446543e+01	2.487108969437614725e-01	1.639376206395516692e-09	6.802585808447336432e-12	4.954646594712737289e-11	6.584019119681391106e-09
5.100000000000000000e+01	6.263128838209805593e+01	4.374987861545932555e-01	6.650836595561410367e-08	3.049992785572903358e-10	9.647185795097795125e-10	3.244650080071184996e-09
6.100000000000000000e+01	9.707739165673487491e+01	6.781153974315357047e-01	5.376837085199585186e-07	6.458802476680244980e-09	1.039060956283721344e-08	4.267489276435446523e-09
7.100000000000000000e+01	1.293425437332568890e+02	9.034973947242260772e-01	1.648178898044336092e-06	3.868975520794559826e-08	4.024322647792892818e-08	3.631146815129893201e-09
8.100000000000000000e+01	1.521295673752941582e+02	1.062671753754605763e+00	3.285340853006063889e-06	9.182900802190912641e-08	8.042976970132589833e-08	4.336377187510403455e-09
9.100000000000000000e+01	1.749172105994928756e+02	1.221850440756683920e+00	5.661082144778203389e-06	1.622765513267574420e-07	1.680638824510862156e-07	4.550130385815906804e-09
1.010000000000000000e+02	1.977038188690282539e+02	1.381021898282558613e+00	8.836120432183478757e-06	2.134858677162229268e-07	3.488931704641479103e-07	7.805105190654187392e-09
1.110000000000000000e+02	2.204903801089074875e+02	1.540193027291840711e+00	1.335125792067355743e-05	3.286942479910078632e-07	5.821005837411573246e-07	1.357366736591229509e-08
1.210000000000000000e+02	2.432769063753638363e+02	1.699363912001021770e+00	1.892093590167510990e-05	8.250715196618511833e-07	1.128358529490275254e-06	2.083005445961722554e-08
1.310000000000000000e+02	2.657608824344656568e+02	1.856421390585441422e+00	2.618541290735305134e-05	1.871140750212197615e-06	2.994175742903059042e-06	2.416832175011014497e-08
1.410000000000000000e+02	2.885470104019307769e+02	2.015589493053834058e+00	2.585219781224209695e-05	2.136998506289644099e-06	2.880788534535946683e-06	2.908694702321015261e-08
1.510000000000000000e+02	3.113359922280631622e+02	2.174777530601561981e+00	3.703027839010166421e-05	3.343277791278578804e-06	7.116713478666077019e-06	3.215610505350874940e-08
