# Units
# dimensionless	code_time	dimensionless	1/code_time	1/code_time	1/code_time	1/code_time
2.100000000000000000e+01	6.671834401392547242e+00	4.660481250562958921e-02	1.399747882689584085e-15	2.783419383619670168e-14	8.731555066427270364e-13	4.247973992840554332e-06
2.200000000000000000e+01	7.481172418081254882e+00	5.225828713527306407e-02	5.209488525416435563e-12	6.891778071604969899e-13	3.869488650064805271e-13	5.297430315769435677e-06
2.300000000000000000e+01	8.347159380006099028e+00	5.830747204675758300e-02	1.636090288690385515e-12	8.413929154925040626e-13	9.952828427386939528e-13	4.216002503978534210e-06
2.400000000000000000e+01	9.270741749221594219e+00	6.475897856823378818e-02	2.401290351518814636e-12	3.527228361553684952e-13	7.245794137955492105e-13	3.250563769372686475e-06
2.500000000000000000e+01	1.025388558013947815e+01	7.162654019362889313e-02	4.655317105395679285e-12	4.351584539181424649e-13	8.145200737666939921e-13	2.415675899244105938e-06
2.600000000000000000e+01	1.129845086069952487e+01	7.892314950998578771e-02	7.565216658779298430e-12	4.329998557433058211e-13	9.825474561601277498e-13	1.816415867553973469e-06
2.700000000000000000e+01	1.240567563287244823e+01	8.665745462072672878e-02	1.044608424364018782e-11	6.083275836467965287e-13	1.219608232626797175e-12	1.379340524664643576e-06
2.800000000000000000e+01	1.357753856384277924e+01	9.484327712387079223e-02	1.382002420839187971e-11	1.368278441705235589e-12	1.846141096575935813e-12	1.048608391412453645e-06
2.900000000000000000e+01	1.481586002601305552e+01	1.034933328797656288e-01	1.859962421342025769e-11	1.853000468234517792e-12	2.987321465060056418e-12	7.983044903125955274e-07
3.000000000000000000e+01	1.612247562513770305e+01	1.126204441584006538e-01	3.001758601801867485e-11	1.859896177513605582e-12	4.368594315955337117e-12	6.068856046324075486e-07
3.100000000000000000e+01	1.754819515390752827e+01	1.225795329676288570e-01	4.635163852971480201e-11	1.316042070056476340e-12	6.313264814838028477e-12	4.518655100833650890e-07
3.200000000000000000e+01	1.899895256003201638e+01	1.327135190404056808e-01	6.580507548159482502e-11	1.144737872029845253e-12	7.356417089432122058e-12	3.342720324028228771e-07
3.300000000000000000e+01	2.052306439621267486e+01	1.433599083374758887e-01	8.633258408433935419e-11	1.206743920928291696e-12	9.606621245175040169e-12	2.415726742194548784e-07
3.400000000000000000e+01	2.212236244178931344e+01	1.545314964001475166e-01	1.101456493409497132e-10	1.245921076190884840e-12	1.122139806735898001e-11	1.685369144902854352e-07
3.500000000000000000e+01	2.379914675374541133e+01	1.662443498328982361e-01	1.552548440807006307e-10	1.375604849193294620e-12	1.314638806718479211e-11	1.126454837535632112e-07
3.600000000000000000e+01	2.555396439559895683e+01	1.785022900424283188e-01	2.292010894214033852e-10	1.580592529751297647e-12	1.689733341379581499e-11	7.194406283940152331e-08
3.700000000000000000e+01	2.738951139953598357e+01	1.913241496416264176e-01	3.149181035823790243e-10	1.972276509771973445e-12	2.109926198203473635e-11	4.384653015081890592e-08
3.800000000000000000e+01	2.933573340105809990e+01	2.049191080920846342e-01	4.830428100260545609e-10	2.459428932268841492e-12	2.367984898270476749e-11	2.620453078285091277e-08
3.900000000000000000e+01	3.133833262702047762e+01	2.189078787711673524e-01	7.816342681888326432e-10	3.356155516658653300e-12	2.915038871199954625e-11	1.580044351498638184e-08
4.000000000000000000e+01	3.342939481819278313e+01	2.335145904330838684e-01	1.191063780954667038e-09	4.788384372525303345e-12	3.878605919028815883e-11	9.831041196710367605e-09
4.100000000000000000e+01	3.560486200926446543e+01	2.487108969437614725e-01	1.639376206395516692e-09	6.802585808447336432e-12	4.954646594712737289e-11	6.584019119681391106e-09
4.200000000000000000e+01	3.786958379061234581e+01	2.645306741815034446e-01	2.462957986288022744e-09	9.597688797552414356e-12	6.398194818516464677e-11	4.769697333859466413e-09
4.300000000000000000e+01	4.022525708116236842e+01	2.809857756462053602e-01	3.853646562844463820e-09	1.396874858324151893e-11	8.600812774426446099e-11	3.784111696788443353e-09
4.400000000000000000e+01	4.267332270827766649e+01	2.980862659595397979e-01	5.685244436419771678e-09	2.121157996317062775e-11	1.155289021006869576e-10	3.227524396651313759e-09
4.500000000000000000e+01	4.521605714453532698e+01	3.158480469816620229e-01	8.265390540698409745e-09	3.316444810763623155e-11	1.574816736724952126e-10	2.894172574809771764e-09
4.600000000000000000e+01	4.785455382981571404e+01	3.342787567259793979e-01	1.210511054385243789e-08	5.032135050197612936e-11	2.171965220431292802e-10	2.689121323645124813e-09
4.700000000000000000e+01	5.066168630376022719e+01	3.538874392495357513e-01	1.733029312819455652e-08	7.278047981333401453e-11	2.962233224934845579e-10	2.595105125570971182e-09
4.800000000000000000e+01	5.350036700480218599e+01	3.737164958292070183e-01	2.529708571381897261e-08	1.108918930173176773e-10	4.040091335405719585e-10	2.738870439842076300e-09
4.900000000000000000e+01	5.644045114588955414e+01	3.942538865830231276e-01	3.885176579730549973e-08	1.583205471766259002e-10	5.522102531434578393e-10	2.872812473964677679e-09
5.000000000000000000e+01	5.948359436103864795e+01	4.155111766231057713e-01	5.164239573015818676e-08	2.284625478496727476e-10	7.409318483031341144e-10	3.009745549139168130e-09
5.100000000000000000e+01	6.263128838209805593e+01	4.374987861545932555e-01	6.650836595561410367e-08	3.049992785572903358e-10	9.647185795097795125e-10	3.244650080071184996e-09
5.200000000000000000e+01	6.588841658101716803e+01	4.602508270304490612e-01	8.616273373169481301e-08	4.045328522311413174e-10	1.217830925964237830e-09	3.354272758211449120e-09
5.300000000000000000e+01	6.911071193234272414e+01	4.827595497671741676e-01	1.089308601827003674e-07	5.370984595973614631e-10	1.514665078989964191e-09	3.231922583558473152e-09
5.400000000000000000e+01	7.233294027166003559e+01	5.052678044044394134e-01	1.388569831884715559e-07	7.518736452539980221e-10	1.883073170188210110e-09	3.531933064867506891e-09
5.500000000000000000e+01	7.593038283527836541e+01	5.303970456431323921e-01	1.835050933151008564e-07	1.106300169737360361e-09	2.455405897715009757e-09	3.535947288674762877e-09
5.600000000000000000e+01	7.915259156416045982e+01	5.529051632954843365e-01	2.185289637970311455e-07	1.630583773850238317e-09	3.074746624205151929e-09	3.617563246320763778e-09
5.700000000000000000e+01	8.237485357543879161e+01	5.754136531417394229e-01	2.676139574010364901e-07	2.252634523233505862e-09	3.788788832064209431e-09	3.997841278046900671e-09
5.800000000000000000e+01	8.635744283370182472e+01	6.032332623379063063e-01	3.405420757095699956e-07	3.216346091087159465e-09	5.078320803010991757e-09	4.093957057457124714e-09
5.900000000000000000e+01	8.957962078010272933e+01	6.257411649651726249e-01	3.938211207005843405e-07	3.955393504869869732e-09	6.253460416996880919e-09	4.114151854078872346e-09
6.000000000000000000e+01	9.280191401630237635e+01	6.482498729270936844e-01	4.540764502890687209e-07	4.939620477134308059e-09	7.868043152798773281e-09	4.248556008111143275e-09
6.100000000000000000e+01	9.707739165673487491e+01	6.781153974315357047e-01	5.376837085199585186e-07	6.458802476680244980e-09	1.039060956283721344e-08	4.267489276435446523e-09
6.200000000000000000e+01	1.002996913822229459e+02	7.006241507231294463e-01	5.956162428464922315e-07	7.674898356135525266e-09	1.233452971017796269e-08	4.306922503623889247e-09
6.300000000000000000e+01	1.035218976761192948e+02	7.231322513663581697e-01	6.718881623018563038e-07	9.240596158471521576e-09	1.452136276239638554e-08	4.049520146729374116e-09
6.400000000000000000e+01	1.080773420463856382e+02	7.549534294687068048e-01	7.894703002986126421e-07	1.189631723926645358e-08	1.806580174488133683e-08	3.897202378861761011e-09
6.500000000000000000e+01	1.112996351476524239e+02	7.774621364880802687e-01	8.935971265628635164e-07	1.423529996587604300e-08	2.086086966181832940e-08	3.781116991657408869e-09
6.600000000000000000e+01	1.145220496121196589e+02	7.999716912666848811e-01	9.799628175639266334e-07	1.665162587272821322e-08	2.373946141866474805e-08	3.687564987764900218e-09
6.700000000000000000e+01	1.193626889283711137e+02	8.337850436625703354e-01	1.163614744212482958e-06	2.113966123421490054e-08	2.812482744047678290e-08	3.614229086003897200e-09
6.800000000000000000e+01	1.225850211826076190e+02	8.562940241774630312e-01	1.305313888795363939e-06	2.475839721212197781e-08	3.226806163928529671e-08	3.585660651251709558e-09
6.900000000000000000e+01	1.258073361196042441e+02	8.788028837261162574e-01	1.465165720013176361e-06	2.871659498528574558e-08	3.611429773837392002e-08	3.541546445331034187e-09
7.000000000000000000e+01	1.270637828080899823e+02	8.875795497548737423e-01	1.512697959893563267e-06	3.432744684118960129e-08	3.777896415674911683e-08	3.578805892287429083e-09
7.100000000000000000e+01	1.293425437332568890e+02	9.034973947242260772e-01	1.648178898044336092e-06	3.868975520794559826e-08	4.024322647792892818e-08	3.631146815129893201e-09
7.200000000000000000e+01	1.316212286283984554e+02	9.194147086004992309e-01	1.778649436269997020e-06	4.305391436441757072e-08	4.302410157232359015e-08	3.650527226106832750e-09
7.300000000000000000e+01	1.339000767771028677e+02	9.353331628530512365e-01	1.929160426257555940e-06	4.777669610619557849e-08	4.556877659385778115e-08	3.710235282874050066e-09
7.400000000000000000e+01	1.361785343151194922e+02	9.512488885699755814e-01	2.055901677707553013e-06	5.268792172241409806e-08	4.836468313613087845e-08	3.884039709480685579e-09
7.500000000000000000e+01	1.384573343591178514e+02	9.671670067963806794e-01	2.211232349743517507e-06	5.761974128384356887e-08	5.163782559659025520e-08	3.961827917644735964e-09
7.600000000000000000e+01	1.407359340430099905e+02	9.830837254459047214e-01	2.405397809188413452e-06	6.346733400684396242e-08	5.618274261481620923e-08	4.075572954806179847e-09
7.700000000000000000e+01	1.430145109340929537e+02	9.990002848806557312e-01	2.530692042216756056e-06	6.828455667977949876e-08	5.942388138954029637e-08	4.129883335977599973e-09
7.800000000000000000e+01	1.452932070452167466e+02	1.014917677104009819e+00	2.732636125193339891e-06	7.439252855575509019e-08	6.411933526802104132e-08	4.223163512272240168e-09
7.900000000000000000e+01	1.475720050056074797e+02	1.030835780775775756e+00	2.886768227728110456e-06	7.983873027266717604e-08	6.883298089155680921e-08	4.249727009045563941e-09
8.000000000000000000e+01	1.498506863856689222e+02	1.046753070098134675e+00	3.083326012796300440e-06	8.667890696613813568e-08	7.509529386865950086e-08	4.326474105831045032e-09
8.100000000000000000e+01	1.521295673752941582e+02	1.062671753754605763e+00	3.285340853006063889e-06	9.182900802190912641e-08	8.042976970132589833e-08	4.336377187510403455e-09
8.200000000000000000e+01	1.544079912749111827e+02	1.078587244496977071e+00	3.431362707785987933e-06	9.776024245230013643e-08	8.667797652486102361e-08	4.284954468512864123e-09
8.300000000000000000e+01	1.566867482533346845e+02	1.094505061897114384e+00	3.695464062227894528e-06	1.044880669718735899e-07	9.376766604792233394e-08	4.274470473273285878e-09
8.400000000000000000e+01	1.589653309426065277e+02	1.110421661833995932e+00	3.886592456058381678e-06	1.111560164267996111e-07	9.908685279771589479e-08	4.236897685980597021e-09
8.500000000000000000e+01	1.612441812459551045e+02	1.126340131137399281e+00	4.129147950122151966e-06	1.172363254500770639e-07	1.055310560752043878e-07	4.251959891418372794e-09
8.600000000000000000e+01	1.635230261014666269e+02	1.142258562385987331e+00	4.370068508932167802e-06	1.244498865086197956e-07	1.133630786510415397e-07	4.267959072480757264e-09
8.700000000000000000e+01	1.658016161584575912e+02	1.158175213788649849e+00	4.561074870195860218e-06	1.313409972121477929e-07	1.226492360398298031e-07	4.270264817189962472e-09
8.800000000000000000e+01	1.680804123602803486e+02	1.174093305176278301e+00	4.951758438493460189e-06	1.406036387875431400e-07	1.343555723215632981e-07	4.327615775228111070e-09
8.900000000000000000e+01	1.703594180859973619e+02	1.190012860152662055e+00	5.130234295361172331e-06	1.490080211937428287e-07	1.453638545052920555e-07	4.312235127253757067e-09
9.000000000000000000e+01	1.726384872344971768e+02	1.205932858156663734e+00	5.448880390107712790e-06	1.562244783120111738e-07	1.567777902744421245e-07	4.401826911229377721e-09
9.100000000000000000e+01	1.749172105994928756e+02	1.221850440756683920e+00	5.661082144778203389e-06	1.622765513267574420e-07	1.680638824510862156e-07	4.550130385815906804e-09
9.200000000000000000e+01	1.771957601149626385e+02	1.237766808964368748e+00	6.107248082582925832e-06	1.686295947371655790e-07	1.837049573885531166e-07	4.683784677677100955e-09
9.300000000000000000e+01	1.794743834633857489e+02	1.253683692917909820e+00	6.241062103033953859e-06	1.754844311301685955e-07	2.090787481314003548e-07	4.891914457008292793e-09
9.400000000000000000e+01	1.817529506189925428e+02	1.269600184347369654e+00	6.535357096739877712e-06	1.804857263432147370e-07	2.333656450367159759e-07	5.182793833455398890e-09
9.500000000000000000e+01	1.840314885628717150e+02	1.285516471723940013e+00	6.839428962479696708e-06	1.823951202501045548e-07	2.489647714880347311e-07	5.543526261484459229e-09
9.600000000000000000e+01	1.863100368346915729e+02	1.301432831244347943e+00	7.169019875004654960e-06	1.816796244411519996e-07	2.515090561051027304e-07	5.875248157296360195e-09
9.700000000000000000e+01	1.885888293817724843e+02	1.317350897102482321e+00	7.524915891252140416e-06	1.856858674534029788e-07	2.678477006618152448e-07	6.269631815331459450e-09
9.800000000000000000e+01	1.908677353277467148e+02	1.333269755086716080e+00	7.815137994042362985e-06	1.924423141236878516e-07	2.726582056638069702e-07	6.554724342887917250e-09
9.900000000000000000e+01	1.931461650137014203e+02	1.349185286248433258e+00	8.330382651147148854e-06	2.007015387421515388e-07	3.056892052051605989e-07	7.022261416624183507e-09
1.000000000000000000e+02	1.954251044508978055e+02	1.365104378179140321e+00	8.495746707864197173e-06	2.042445060291038087e-07	3.564447454637912901e-07	7.387458812455934723e-09
1.010000000000000000e+02	1.977038188690282539e+02	1.381021898282558613e+00	8.836120432183478757e-06	2.134858677162229268e-07	3.488931704641479103e-07	7.805105190654187392e-09
1.020000000000000000e+02	1.999825998342446951e+02	1.396939883237812374e+00	9.292513545977417445e-06	2.198128050396286135e-07	3.708916726636051416e-07	8.221361693356087755e-09
1.030000000000000000e+02	2.022610438685033785e+02	1.412855514626839781e+00	9.678440691612164118e-06	2.244704293862278784e-07	3.882219513793557241e-07	8.661250636760508024e-09
1.040000000000000000e+02	2.045398749672166900e+02	1.428773849779967131e+00	1.002833959251310442e-05	2.316271463670124016e-07	4.272440148626426612e-07	9.172923315158576916e-09
1.050000000000000000e+02	2.068184728833707879e+02	1.444690556081297927e+00	1.051686823900019877e-05	2.461382199552158932e-07	3.912201877911634699e-07	9.785863229632827421e-09
1.060000000000000000e+02	2.090971551588870341e+02	1.460607851658683787e+00	1.063921888834448114e-05	2.532348632648943706e-07	4.118531427641830013e-07	1.028116571049841364e-08
1.070000000000000000e+02	2.113756111510006406e+02	1.476523566577000679e+00	1.141909681432290098e-05	2.680785207994645104e-07	4.826724900879518777e-07	1.093587138801206660e-08
1.080000000000000000e+02	2.136543981428229415e+02	1.492441593629947105e+00	1.140997055703866012e-05	2.853260606393349391e-07	4.953140967751700781e-07	1.153541300344404724e-08
1.090000000000000000e+02	2.159330588560478645e+02	1.508358738588105430e+00	1.238241623226751400e-05	3.126002038492808951e-07	5.451642334633752454e-07	1.213759939682792175e-08
1.100000000000000000e+02	2.182115246669057740e+02	1.524274522093366890e+00	1.278382742671963376e-05	3.428611374015199638e-07	5.718622428427685799e-07	1.276044864800665820e-08
1.110000000000000000e+02	2.204903801089074875e+02	1.540193027291840711e+00	1.335125792067355743e-05	3.286942479910078632e-07	5.821005837411573246e-07	1.357366736591229509e-08
1.120000000000000000e+02	2.227689589432799551e+02	1.556109600301065932e+00	1.408411801456899426e-05	3.345357885468036516e-07	6.118678623429480885e-07	1.434935709561662732e-08
1.130000000000000000e+02	2.250476277443785591e+02	1.572026801755505909e+00	1.459481893121407208e-05	3.560020595686769727e-07	6.958444224040849713e-07	1.502669005325378190e-08
1.140000000000000000e+02	2.273260475081214622e+02	1.587942263607525994e+00	1.512331089772008361e-05	3.845867211565322131e-07	7.797229496442495013e-07	1.574007352854698159e-08
1.150000000000000000e+02	2.296048666252543455e+02	1.603860515065633985e+00	1.572209981147723536e-05	4.186368091174393319e-07	7.603372289677979228e-07	1.657349593768799959e-08
1.160000000000000000e+02	2.318836913260986989e+02	1.619778805527681831e+00	1.628435500157123566e-05	4.824282291175758433e-07	7.513981275711791982e-07	1.754277859647947222e-08
