# Units
# dimensionless	code_time	dimensionless	1/code_time	1/code_time	1/code_time
2.100000000000000000e+01	6.671834401392547242e+00	4.660481250562958921e-02	1.399747882689584085e-15	4.247973910636183831e-06	9.831940708874723663e-13
2.200000000000000000e+01	7.481172418081254882e+00	5.225828713527306407e-02	5.209488525416435563e-12	5.297430990860529002e-06	4.010355790639197156e-13
2.300000000000000000e+01	8.347159380006099028e+00	5.830747204675758300e-02	1.636090288690385515e-12	4.216003332660112863e-06	1.007994180193001734e-12
2.400000000000000000e+01	9.270741749221594219e+00	6.475897856823378818e-02	2.401290351518814636e-12	3.250564103911878579e-06	7.427630579949067100e-13
2.500000000000000000e+01	1.025388558013947815e+01	7.162654019362889313e-02	4.655317105395679285e-12	2.415676304289179195e-06	8.446334544041667414e-13
2.600000000000000000e+01	1.129845086069952487e+01	7.892314950998578771e-02	7.565216658779298430e-12	1.816416243027064859e-06	1.040074220361464602e-12
2.700000000000000000e+01	1.240567563287244823e+01	8.665745462072672878e-02	1.044608424364018782e-11	1.379341049070424234e-06	1.303530035619070473e-12
2.800000000000000000e+01	1.357753856384277924e+01	9.484327712387079223e-02	1.382002420839187971e-11	1.048609652178991693e-06	1.953653000061787702e-12
2.900000000000000000e+01	1.481586002601305552e+01	1.034933328797656288e-01	1.859962421342025769e-11	7.983061993477290301e-07	3.131286799846269058e-12
3.000000000000000000e+01	1.612247562513770305e+01	1.126204441584006538e-01	3.001758601801867485e-11	6.068872450762398097e-07	4.588046661389113518e-12
3.100000000000000000e+01	1.754819515390752827e+01	1.225795329676288570e-01	4.635163852971480201e-11	4.518664466856934543e-07	6.692704556407709125e-12
3.200000000000000000e+01	1.899895256003201638e+01	1.327135190404056808e-01	6.580507548159482502e-11	3.342725193533612018e-07	8.014204423144808017e-12
3.300000000000000000e+01	2.052306439621267486e+01	1.433599083374758887e-01	8.633258408433935419e-11	2.415727047433020899e-07	1.078284131890606681e-11
3.400000000000000000e+01	2.212236244178931344e+01	1.545314964001475166e-01	1.101456493409497132e-10	1.685360815184341094e-07	1.330029099492271717e-11
3.500000000000000000e+01	2.379914675374541133e+01	1.662443498328982361e-01	1.552548440807006307e-10	1.126431787140089197e-07	1.682703247066067054e-11
